S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,No. of Units,Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Option Exercised / Sales Agreement Signed
1,DERBYSHIRE HEIGHTS,DERBYSHIRE ROAD,Apartment,11,CCR,Freehold,1,1500000,1302,Strata,01 to 05,1152,Feb-15
2,THOMSON EURO-ASIA,THOMSON ROAD,Condominium,11,CCR,Freehold,1,2180000,1292,Strata,06 to 10,1688,Feb-15
3,WATTEN ESTATE CONDOMINIUM,SHELFORD ROAD,Condominium,11,CCR,Freehold,1,1201200,1001,Strata,01 to 05,1200,Feb-15
4,RESIDENCES @ EVELYN,EVELYN ROAD,Condominium,11,CCR,Freehold,1,3900000,2250,Strata,21 to 25,1734,Jan-15
5,NOVENA LODGE,JALAN MERLIMAU,Condominium,11,CCR,Freehold,1,1130000,872,Strata,01 to 05,1296,Jan-15
6,PAVILION 11,AKYAB ROAD,Condominium,11,CCR,Freehold,1,4980000,4219,Strata,31 to 35,1180,Jan-15
7,RESIDENCES @ EVELYN,EVELYN ROAD,Condominium,11,CCR,Freehold,1,1900000,1033,Strata,26 to 30,1839,Jan-15
8,CUBE 8,THOMSON ROAD,Condominium,11,CCR,Freehold,1,908000,560,Strata,06 to 10,1622,Jan-15
9,MONTEBLEU,MINBU ROAD,Condominium,11,CCR,Freehold,1,2180000,1475,Strata,21 to 25,1478,Jan-15
10,SUFFOLK PREMIER,SUFFOLK ROAD,Apartment,11,CCR,Freehold,1,1180000,1001,Strata,01 to 05,1179,Jan-15
11,PARK INFINIA AT WEE NAM,LINCOLN ROAD,Condominium,11,CCR,Freehold,1,2854800,1464,Strata,11 to 15,1950,Jan-15
12,CUBE 8,THOMSON ROAD,Condominium,11,CCR,Freehold,1,2000000,1335,Strata,21 to 25,1498,Jan-15
13,SUITES @ SURREY,SURREY ROAD,Apartment,11,CCR,Freehold,1,1400000,926,Strata,01 to 05,1512,Jan-15
14,PAVILION 11,AKYAB ROAD,Condominium,11,CCR,Freehold,1,1610000,958,Strata,26 to 30,1681,Jan-15
15,HILLCREST ARCADIA,ARCADIA ROAD,Condominium,11,CCR,99 yrs lease commencing from 1975,1,2000000,1970,Strata,06 to 10,1015,Jan-15
16,THE ARCADIA,ARCADIA ROAD,Condominium,11,CCR,99 yrs lease commencing from 1979,1,3880000,3810,Strata,01 to 05,1018,Jan-15
17,HILLCREST PARK,GREENWOOD AVENUE,Apartment,11,CCR,Freehold,1,1518000,1152,Strata,01 to 05,1318,Dec-14
18,NEWTON SUITES,NEWTON ROAD,Apartment,11,CCR,Freehold,1,2350000,1238,Strata,21 to 25,1898,Dec-14
19,THOMSON EURO-ASIA,THOMSON ROAD,Condominium,11,CCR,Freehold,1,2020000,1292,Strata,16 to 20,1564,Dec-14
20,SUITES @ SURREY,SURREY ROAD,Apartment,11,CCR,Freehold,1,1230000,893,Strata,06 to 10,1377,Dec-14
21,368 THOMSON,THOMSON ROAD,Condominium,11,CCR,Freehold,1,1420000,883,Strata,11 to 15,1609,Dec-14
22,MONTEBLEU,MINBU ROAD,Condominium,11,CCR,Freehold,1,2065000,1475,Strata,26 to 30,1400,Dec-14
23,TEN @ SUFFOLK,SUFFOLK ROAD,Apartment,11,CCR,Freehold,1,1549000,1087,Strata,01 to 05,1425,Dec-14
24,ADAM PARK CONDOMINIUM,ADAM ROAD,Condominium,11,CCR,Freehold,1,1663000,1765,Strata,01 to 05,942,Dec-14
25,SHELFORD SUITES,SHELFORD ROAD,Condominium,11,CCR,Freehold,1,3880000,3584,Strata,01 to 05,1082,Dec-14
26,APLETON VIEW,SINARAN DRIVE,Apartment,11,CCR,Freehold,1,1593800,1119,Strata,01 to 05,1424,Dec-14
27,LINCOLN SUITES,KHIANG GUAN AVENUE,Condominium,11,CCR,Freehold,1,1235000,527,Strata,11 to 15,2342,Dec-14
28,SKY@ELEVEN,THOMSON LANE,Condominium,11,CCR,Freehold,1,4600000,2713,Strata,16 to 20,1696,Dec-14
29,THOMSON EURO-ASIA,THOMSON ROAD,Condominium,11,CCR,Freehold,1,2080000,1292,Strata,11 to 15,1610,Dec-14
30,NINETEEN SHELFORD ROAD,SHELFORD ROAD,Condominium,11,CCR,Freehold,1,1360000,893,Strata,01 to 05,1522,Dec-14
31,NOVENA REGENCY,THOMSON ROAD,Apartment,11,CCR,Freehold,1,2678000,1701,Strata,01 to 05,1575,Dec-14
32,SHELFORD SUITES,SHELFORD ROAD,Condominium,11,CCR,Freehold,1,2100000,1270,Strata,01 to 05,1653,Dec-14
33,NEWTON ONE,NEWTON ROAD,Condominium,11,CCR,Freehold,1,3300000,1808,Strata,21 to 25,1825,Dec-14
34,PARK INFINIA AT WEE NAM,LINCOLN ROAD,Condominium,11,CCR,Freehold,1,2980000,1442,Strata,26 to 30,2066,Dec-14
35,L'VIV,NEWTON ROAD,Apartment,11,CCR,Freehold,1,3880000,2002,Strata,31 to 35,1938,Nov-14
36,AMARYLLIS VILLE,NEWTON ROAD,Condominium,11,CCR,99 yrs lease commencing from 1997,1,1938000,1238,Strata,11 to 15,1566,Nov-14
37,LA SUISSE,SWISS VIEW,Condominium,11,CCR,999 yrs lease commencing from 1878,1,2300000,2110,Strata,01 to 05,1090,Nov-14
38,NINETEEN SHELFORD ROAD,SHELFORD ROAD,Condominium,11,CCR,Freehold,1,1200000,753,Strata,01 to 05,1593,Nov-14
39,THE ANSLEY,MANDALAY ROAD,Condominium,11,CCR,Freehold,1,1718000,1302,Strata,16 to 20,1319,Nov-14
40,VILLA CHANCERY,CHANCERY LANE,Condominium,11,CCR,Freehold,1,4100000,2659,Strata,01 to 05,1542,Nov-14
41,6 DERBYSHIRE,DERBYSHIRE ROAD,Condominium,11,CCR,Freehold,1,1028664,517,Strata,01 to 05,1991,Nov-14
42,THOMSON 800,THOMSON ROAD,Condominium,11,CCR,Freehold,1,1930000,1625,Strata,06 to 10,1187,Nov-14
43,CHANCERY COURT,DUNEARN ROAD,Condominium,11,CCR,99 yrs lease commencing from 1981,1,1250000,926,Strata,06 to 10,1350,Nov-14
44,SUITES @ NEWTON,SURREY ROAD,Apartment,11,CCR,Freehold,1,1500000,1324,Strata,16 to 20,1133,Nov-14
45,368 THOMSON,THOMSON ROAD,Condominium,11,CCR,Freehold,1,1285000,883,Strata,01 to 05,1456,Nov-14
46,NEWTON 18,NEWTON ROAD,Apartment,11,CCR,Freehold,1,1135000,614,Strata,26 to 30,1850,Nov-14
47,26 NEWTON,NEWTON ROAD,Apartment,11,CCR,Freehold,1,1198500,474,Strata,16 to 20,2531,Nov-14
48,LA SUISSE,SWISS VIEW,Condominium,11,CCR,999 yrs lease commencing from 1878,1,2270000,2056,Strata,06 to 10,1104,Nov-14
49,NINETEEN SHELFORD ROAD,SHELFORD ROAD,Condominium,11,CCR,Freehold,1,1030000,657,Strata,01 to 05,1569,Nov-14
50,GLOUCESTER MANSIONS,NEWTON ROAD,Apartment,11,CCR,Freehold,1,1780000,1130,Strata,16 to 20,1575,Nov-14
51,AMARYLLIS VILLE,NEWTON ROAD,Condominium,11,CCR,99 yrs lease commencing from 1997,1,2750000,1690,Strata,21 to 25,1627,Nov-14
52,NINETEEN SHELFORD ROAD,SHELFORD ROAD,Condominium,11,CCR,Freehold,1,1110000,753,Strata,01 to 05,1473,Nov-14
53,SHELFORD REGENCY,SHELFORD ROAD,Condominium,11,CCR,Freehold,1,1670000,1098,Strata,01 to 05,1521,Nov-14
54,THE AXIS,MANDALAY ROAD,Apartment,11,CCR,Freehold,1,615000,398,Strata,06 to 10,1544,Oct-14
