sn,project_name,street_name,type,postal_district,market_segment,tenure,number_of_units,total_price,area_sq,type_of_area,floor_level,ppsf,date_of_sale
1,HILLTOPS,CAIRNHILL CIRCLE,Condominium,9,CCR,Freehold,1,4200000,1335,Strata,01 to 05,3147,Feb-15
2,UE SQUARE,RIVER VALLEY ROAD,Apartment,9,CCR,929 yrs lease commencing from 1953,1,1900000,1195,Strata,01 to 05,1590,Feb-15
3,SCOTTS 28,SCOTTS ROAD,Condominium,9,CCR,Freehold,1,2250900,1098,Strata,21 to 25,2050,Jan-15
4,THE COSMOPOLITAN,KIM SENG ROAD,Condominium,9,CCR,Freehold,1,2658100,1399,Strata,11 to 15,1900,Jan-15
5,VILLE ROYALE,RIVER VALLEY ROAD,Condominium,9,CCR,Freehold,1,1830000,1389,Strata,01 to 05,1318,Jan-15
6,CAIRNHILL RESIDENCES,CAIRNHILL CIRCLE,Apartment,9,CCR,Freehold,1,2750000,1238,Strata,11 to 15,2222,Jan-15
7,RESIDENCES AT 338A,RIVER VALLEY ROAD,Apartment,9,CCR,Freehold,1,1890000,1163,Strata,06 to 10,1626,Jan-15
8,THE COSMOPOLITAN,KIM SENG ROAD,Condominium,9,CCR,Freehold,1,3500000,1679,Strata,31 to 35,2084,Jan-15
9,URBAN RESORT CONDOMINIUM,CAIRNHILL ROAD,Condominium,9,CCR,Freehold,1,4654000,2121,Strata,06 to 10,2195,Jan-15
10,URBAN SUITES,HULLET ROAD,Condominium,9,CCR,Freehold,1,2880000,1044,Strata,11 to 15,2758,Jan-15
11,8 @ MOUNT SOPHIA,MOUNT SOPHIA,Condominium,9,CCR,103 yrs lease commencing from 2002,1,2420000,1464,Strata,06 to 10,1653,Jan-15
12,SCOTTS HIGHPARK,SCOTTS ROAD,Condominium,9,CCR,Freehold,1,2100000,1141,Strata,11 to 15,1841,Jan-15
13,URBAN RESORT CONDOMINIUM,CAIRNHILL ROAD,Condominium,9,CCR,Freehold,1,5099000,2121,Strata,11 to 15,2405,Jan-15
14,URBAN RESORT CONDOMINIUM,CAIRNHILL ROAD,Condominium,9,CCR,Freehold,1,4682000,2121,Strata,11 to 15,2208,Jan-15
15,URBAN RESORT CONDOMINIUM,CAIRNHILL ROAD,Condominium,9,CCR,Freehold,1,5787000,2530,Strata,06 to 10,2288,Jan-15
16,LA CRYSTAL,KILLINEY ROAD,Apartment,9,CCR,Freehold,1,1130000,710,Strata,06 to 10,1591,Jan-15
17,THE PIER AT ROBERTSON,MOHAMED SULTAN ROAD,Apartment,9,CCR,Freehold,1,1250000,657,Strata,06 to 10,1904,Jan-15
18,SOPHIA HILLS,MOUNT SOPHIA,Condominium,9,CCR,99 yrs lease commencing from 2013,1,3000000,1539,Strata,01 to 05,1949,Jan-15
19,PATERSON SUITES,PATERSON ROAD,Condominium,9,CCR,Freehold,1,13900000,6663,Strata,21 to 25,2086,Jan-15
