sn,project_name,street_name,type,postal_district,market_segment,tenure,number_of_units,total_price,area_sq,type_of_area,floor_level,ppsf,date_of_sale
1,TANGLIN PARK,RIDLEY PARK,Condominium,10,CCR,Freehold,1,2450000,1335,Strata,01 to 05,1836,Feb-15
2,SPANISH VILLAGE,FARRER ROAD,Condominium,10,CCR,Freehold,1,2050000,1668,Strata,01 to 05,1229,Feb-15
3,CUSCADEN RESIDENCES,CUSCADEN ROAD,Condominium,10,CCR,Freehold,1,3150000,1485,Strata,11 to 15,2121,Jan-15
4,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,3900000,1991,Strata,11 to 15,1958,Jan-15
5,THE EQUATORIAL,STEVENS ROAD,Condominium,10,CCR,Freehold,1,2050000,1378,Strata,01 to 05,1488,Jan-15
6,D' DALVEY,DALVEY ESTATE,Apartment,10,CCR,Freehold,1,1450000,958,Strata,01 to 05,1514,Jan-15
7,CUSCADEN RESIDENCES,CUSCADEN ROAD,Condominium,10,CCR,Freehold,1,3000000,1496,Strata,16 to 20,2005,Jan-15
8,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2816520,1485,Strata,01 to 05,1896,Jan-15
9,CORONA VILLE,JALAN HAJI ALIAS,Condominium,10,CCR,Freehold,1,1725000,1518,Strata,01 to 05,1137,Jan-15
10,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,998000,710,Strata,01 to 05,1405,Jan-15
11,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1700000,1292,Strata,11 to 15,1316,Jan-15
12,THE ARC AT DRAYCOTT,DRAYCOTT DRIVE,Apartment,10,CCR,Freehold,1,2200000,1130,Strata,06 to 10,1947,Jan-15
13,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2260000,1270,Strata,01 to 05,1779,Jan-15
14,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,1,7800000,3897,Strata,16 to 20,2002,Jan-15
15,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,1316000,538,Strata,01 to 05,2445,Jan-15
16,MELROSE PARK,KELLOCK ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2588000,1701,Strata,01 to 05,1522,Jan-15
17,DORMER PARK,JERVOIS ROAD,Condominium,10,CCR,Freehold,1,3500000,2347,Strata,01 to 05,1492,Jan-15
18,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,5050000,2788,Strata,11 to 15,1811,Jan-15
19,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2510000,1378,Strata,06 to 10,1822,Jan-15
20,DE LENTE,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,1490000,1012,Strata,01 to 05,1473,Jan-15
21,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2982140,1518,Strata,06 to 10,1965,Jan-15
22,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,1,9500000,4941,Strata,21 to 25,1923,Jan-15
23,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1442000,689,Strata,01 to 05,2093,Jan-15
24,BALMORAL GATE,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1700000,1259,Strata,06 to 10,1350,Jan-15
25,MELROSE PARK,KELLOCK ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2060000,1292,Strata,06 to 10,1595,Jan-15
26,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1470000,1259,Strata,06 to 10,1167,Jan-15
27,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,3696900,2433,Strata,26 to 30,1520,Jan-15
28,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2230000,1163,Strata,06 to 10,1918,Jan-15
29,RICH MANSION,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,2400000,1765,Strata,11 to 15,1360,Jan-15
30,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,2077000,1270,Strata,01 to 05,1635,Jan-15
31,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6000000,2486,Strata,01 to 05,2413,Jan-15
32,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,7300000,2928,Strata,06 to 10,2493,Jan-15
33,HOLLAND MEWS,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,1450000,904,Strata,01 to 05,1604,Jan-15
34,TOMLINSON HEIGHTS,TOMLINSON ROAD,Condominium,10,CCR,Freehold,1,11611600,4047,Strata,26 to 30,2869,Jan-15
35,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,5850000,3681,Strata,11 to 15,1589,Jan-15
36,THE HORIZON,HOLT ROAD,Condominium,10,CCR,Freehold,1,2320000,1561,Strata,06 to 10,1486,Jan-15
37,GLENTREES,MOUNT SINAI LANE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2410000,1991,Strata,01 to 05,1210,Jan-15
38,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,2250000,1615,Strata,01 to 05,1394,Jan-15
39,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,3222083,1776,Strata,06 to 10,1814,Jan-15
40,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1715000,1292,Strata,11 to 15,1328,Jan-15
41,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2168000,1141,Strata,01 to 05,1900,Jan-15
42,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1746340,861,Strata,01 to 05,2028,Dec-14
43,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2628100,1744,Strata,26 to 30,1507,Dec-14
44,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2706400,1755,Strata,31 to 35,1543,Dec-14
45,THE TOMLINSON,CUSCADEN ROAD,Apartment,10,CCR,Freehold,1,5000000,2368,Strata,01 to 05,2111,Dec-14
46,ONE DUCHESS,DUCHESS ROAD,Apartment,10,CCR,999 yrs lease commencing from 1875,1,1626465,775,Strata,01 to 05,2099,Dec-14
47,HOLLAND MEWS,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,1880000,1249,Strata,01 to 05,1506,Dec-14
48,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1400000,689,Strata,01 to 05,2032,Dec-14
49,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1466000,700,Strata,01 to 05,2095,Dec-14
50,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1475000,700,Strata,06 to 10,2108,Dec-14
51,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2725400,1755,Strata,31 to 35,1553,Dec-14
52,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1005000,614,Strata,01 to 05,1638,Dec-14
53,WILLYN VILLE,HOLLAND AVENUE,Apartment,10,CCR,Freehold,1,1550000,1141,Strata,01 to 05,1358,Dec-14
54,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3000000,2067,Strata,16 to 20,1452,Dec-14
55,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,4100000,3358,Strata,06 to 10,1221,Dec-14
56,DRAYCOTT EIGHT,DRAYCOTT PARK,Condominium,10,CCR,99 yrs lease commencing from 1997,1,5750000,2863,Strata,06 to 10,2008,Dec-14
